number,category,description,component,last_updated,filename,image
A397,accessories,397    Coal Loader,397,,,
A410,accessories,410    Blinking Billboard,410,,,
A415,accessories,415    Fueling Station,415,,,
A419,accessories,419    Heliport,419,,,
A445,accessories,445    Switch Tower,445,,,
A448,accessories,448    Missile Range Set,448,,,
A450,accessories,450    Signal Bridge,450,,,
A452,accessories,452    Overhead Gantry Signal,452,,,
A455,accessories,455    Oil Derrick,455,,,
A456,accessories,456    Coal Ramp Set,456,,,
A460,accessories,460    Piggyback Platform,460,,,
A462,accessories,462    Derrick Platform,462,,,
A464,accessories,464    Lumber Mill,464,,,
A465,accessories,465    Dispatching Station,465,,,
A470,accessories,470    Missile Platform,470,,,
A494,accessories,494    Rotary Beacon,494,,,
A497,accessories,497    Coaling Station,497,,,
A1045,accessories,1045    Automatic Flagman,1045,,,
A1047,accessories,1047    Switchman with Flag,1047,,,
A6019,accessories,6019    Remote Operating Track,6019,,,
A-RCS,accessories,RCS    Remote Operating Track,RCS,,,
A-UCS,accessories,UCS    Remote Operating Track,UCS,,,
X1011,transformers,1011   25 watts,1011,,,
X1022,transformers,1012   35 watts,1012,,,
X1014,transformers,1014   40 watts,1014,,,
X1032,transformers,"1032   75 watts, whistle control",1032,,,
X1033,transformers,"1033   90 watts, whistle control",1033,,,
X1034,transformers,1034   75 watts,1034,,,
X1041,transformers,"1041   60 watts, whistle control",1041,,,
X1042,transformers,"1042   75 watts, whistle control",1042,,,
X1043,transformers,1043   50 watts,1043,,,
X1044,transformers,"1044   90 watts, whistle control",1044,,,
X1053,transformers,"1053   60 watts, whistle control",1053,,,
X1063,transformers,"1063   75 watts, whistle control",1063,,,
X1073,transformers,1073   60 watts,1073,,,
X1144,transformers,1144   75 watts,1144,,,
X-KW,transformers,"KW   190 watts, whistle control, 2 variable voltages",KW,,,
X-LW,transformers,"LW   125 watts, whistle control",LW,,,
X-RW,transformers,"RW   110 watts, whistle control",RW,,,
X-SW,transformers,"SW   130 watts, whistle control, 2 variable voltages",SW,,,
X-TW,transformers,"TW   175 watts, whistle control, 2nd core for fixed voltages",TW,,,
X-V,transformers,"V      150 watts, 4 variable voltages",V,,,
