number,description,gauge,set,image
2405,"passenger car, pullman, Santa Fe, silver with blue letters",0-27,11490,
2406,"passenger car, observation, Santa Fe, silver with blue letters",0-27,11490,
2408,"passenger car, vista dome, Santa Fe, silver with blue letters",0-27,11590,
2409,"passenger car, pullman, Santa Fe, silver with blue letters",0-27,11590,
2410,"passenger car, observation, Santa Fe, silver with blue letters",0-27,11590,
2411,flatcar with pipes,,1403,
2412,"passenger car, vista dome, Santa Fe, silver with blue stripes",0-27,1626W,
2414,"passenger car, pullman, Santa Fe, silver with blue stripes",0-27,1651,
2416,"passenger car, observation, Santa Fe, silver with blue stripes",0-27,1626W,
2419,"caboose, work",,1407B,
2420,"caboose, work with searchlight",,2111WS,2420_web.jpg
2421,"passenger car, pullman, Maplewood, silver & grey, or silver & silver",0-27,2150WS,
2422,"passenger car, pullman, Chatham, silver & grey, or silver & silver",0-27,2150WS,
2423,"passenger car, observation, Hillside, silver & grey, or silver & silver",0-27,2150WS,
2429,"passenger car, pullman, Livingston, silver& silver",0-27,1484WS,
2430,"passenger car, pullman, blue",0-27,1400,
2431,"passenger car, observation, blue",0-27,1400,
2432,"passenger car, Vista Dome, Clifton, silver w/ red letters",0-27,1516WS,
2434,"passenger car, pullman, Newark, silver w/ red letters",0-27,1516WS,
2435,"passenger car, pullman, Elizabeth",0-27,1520W,
2436,"passenger car, observation, Summit or Mooseheart, silver w/ red letters",0-27,1516WS,
2440,"passenger car, pullman, illuminated",0-27,1402,
2441,"passenger car, observation, illuminated",0-27,1402,
2442,"passenger car, pullman, brown",0-27,2100,
2443,"passenger car, observation, brown",0-27,2100,
2452,gondola with barrels,,463W,
2454,"boxcar, Baby Ruth",,1411W,
2456,"hopper, Lehigh Valley, black",,2135WS,
2457,"caboose, illuminated Pennsy N5",,463W,
2458,automobile car,,463W,
2460,"crane car, 12 wheel, black",,2111WS,2460_web.jpg
2461,flatcar with transformer,,1441WS,
2465,"tank car, Sunoco two dome",,1401,
2472,"caboose, non-illuminated Pennsy N5",,1401,
2481,"passenger car, pullman, Plainfield, yellow and gray",,1464W,
2482,"passenger car, pullman, Westfield, yellow and gray",,1464W,
2483,"passenger car, observation, Livingston, yellow and gray",,1464W,
2521,"passenger car, observation, President McKinley",O,13078,
2522,"passenger car, vista dome, President Harrison",O,13078,
2523,"passenger car, pullman, President Garfield",O,13078,
2530,"baggage car, Railway Express, large or small door",O,2222WS,
